"GEO_ID","id"
"NAME","Geographic Area Name"
"S1810_C01_001E","Total!!Estimate!!Total civilian noninstitutionalized population"
"S1810_C01_001M","Total!!Margin of Error!!Total civilian noninstitutionalized population"
"S1810_C01_002E","Total!!Estimate!!SEX!!Male"
"S1810_C01_002M","Total!!Margin of Error!!SEX!!Male"
"S1810_C01_003E","Total!!Estimate!!SEX!!Female"
"S1810_C01_003M","Total!!Margin of Error!!SEX!!Female"
"S1810_C01_004E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1810_C01_004M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1810_C01_005E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1810_C01_005M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1810_C01_006E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1810_C01_006M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1810_C01_007E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1810_C01_007M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1810_C01_008E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C01_008M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C01_009E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1810_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1810_C01_010E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C01_011E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S1810_C01_011M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S1810_C01_012E","Total!!Estimate!!Hispanic or Latino (of any race)"
"S1810_C01_012M","Total!!Margin of Error!!Hispanic or Latino (of any race)"
"S1810_C01_013E","Total!!Estimate!!AGE!!Under 5 years"
"S1810_C01_013M","Total!!Margin of Error!!AGE!!Under 5 years"
"S1810_C01_014E","Total!!Estimate!!AGE!!5 to 17 years"
