AFFGEOID,ALAND,AWATER,Acres,GEOID,LSAD,NAME,NAMELSAD,PLACEFP,PLACENS,STATEFP,STATE_NAME,STUSPS,majority
1600000US1200625,2731534,49685,679.25420263,1200625,43,Alford,Alford town,00625,02405131,12,Florida,FL,3.0
1600000US1326084,53117912,265543,13167.5361963,1326084,25,Eatonton,Eatonton city,26084,02403537,13,Georgia,GA,3.0
1600000US2264100,6260269,7591,1542.21036592,2264100,47,Reeves,Reeves village,64100,02407535,22,Louisiana,LA,3.0
1600000US0162328,91711101,2288725,23221.1602083,0162328,25,Prattville,Prattville city,62328,02404568,01,Alabama,AL,3.0
1600000US0139472,2504086,1487,618.880107916,0139472,43,Kellyton,Kellyton town,39472,02405933,01,Alabama,AL,3.0
1600000US0477490,43575950,0,10768.6143048,0477490,43,Tusayan,Tusayan town,77490,02663676,04,Arizona,AZ,4.0
1600000US1343640,115869000,561522,28749.4943103,1343640,25,Kingsland,Kingsland city,43640,02404833,13,Georgia,GA,3.0
1600000US1255875,3779247,0,924.597525149,1255875,43,Penney Farms,Penney Farms town,55875,02407097,12,Florida,FL,3.0
1600000US3432310,4505069,27286,1109.79087773,3432310,21,Ho-Ho-Kus,Ho-Ho-Kus borough,32310,00885258,34,New Jersey,NJ,4.0
1600000US3720840,3406973,11280,854.30782713,3720840,43,Ellerbe,Ellerbe town,20840,02406441,37,North Carolina,NC,4.0
1600000US4082200,2331719,10050,571.676296298,4082200,43,Wright City,Wright City town,82200,02413514,40,Oklahoma,OK,3.0
1600000US4171000,5650192,0,1393.94622579,4171000,25,Sumpter,Sumpter city,71000,02412002,41,Oregon,OR,4.0
1600000US4611140,382698,0,90.9572603912,4611140,25,Central City,Central City city,11140,01267317,46,South Dakota,SD,3.0
1600000US2223235,4267457,15873,1057.51527039,2223235,47,Elizabeth,Elizabeth village,23235,02406433,22,Louisiana,LA,4.0
1600000US2872760,26870972,245557,6691.90630974,2872760,43,Thaxton,Thaxton town,72760,02406728,28,Mississippi,MS,3.0
1600000US2842980,5026388,19455,1251.13304355,2842980,43,Maben,Maben town,42980,02406069,28,Mississippi,MS,3.0
1600000US3663957,2907114,276184,783.058086242,3663957,47,Round Lake,Round Lake village,63957,02391103,36,New York,NY,4.0
1600000US4066550,6631231,0,1644.11897848,4066550,43,Shady Point,Shady Point town,66550,02413274,40,Oklahoma,OK,3.0
1600000US4036090,10240022,138360,2560.14457686,4036090,43,Horntown,Horntown town,36090,02412768,40,Oklahoma,OK,3.0
1600000US0136448,50953140,435001,12751.1779825,0136448,25,Hueytown,Hueytown city,36448,02404738,01,Alabama,AL,3.0
1600000US1254700,90911120,15928864,26367.5262539,1254700,25,Panama City,Panama City city,54700,02404468,12,Florida,FL,3.0
1600000US1382412,3039218,30009,752.961013631,1382412,25,Whigham,Whigham city,82412,02405728,13,Georgia,GA,4.0
1600000US0822035,38093452,6203266,10916.7956261,0822035,25,Durango,Durango city,22035,02410374,08,Colorado,CO,3.0
1600000US1321744,11905778,948781,3170.31474422,1321744,43,Dasher,Dasher town,21744,02406355,13,Georgia,GA,4.0
1600000US4558030,43938509,6697337,12420.7717338,4558030,43,Port Royal,Port Royal town,58030,02407149,45,South Carolina,SC,3.0
1600000US4542100,2038019,0,493.586877135,4542100,43,Livingston,Livingston town,42100,02406029,45,South Carolina,SC,4.0
1600000US0171976,78990109,12189673,21662.0381746,0171976,25,Spanish Fort,Spanish Fort city,71976,02405500,01,Alabama,AL,3.0
1600000US3736080,20580242,16759,5103.08609833,3736080,43,Knightdale,Knightdale town,36080,02405958,37,North Carolina,NC,3.0
1600000US3706820,1647887,0,413.0903338,3706820,43,Bolivia,Bolivia town,06820,02405298,37,North Carolina,NC,3.0
1600000US4131050,222760,0,56.1013842508,4131050,25,Greenhorn,Greenhorn city,31050,02410658,41,Oregon,OR,4.0
1600000US2221765,3589834,34418,897.076833462,2221765,47,Dry Prong,Dry Prong village,21765,02407444,22,Louisiana,LA,3.0
1600000US2878520,2722949,39552,683.985313173,2878520,43,Weir,Weir town,78520,02406852,28,Mississippi,MS,3.0
1600000US2277910,2198050,0,531.83016844,2277910,47,Varnado,Varnado village,77910,02407564,22,Louisiana,LA,4.0
1600000US2873760,21889411,511183,5538.06024442,2873760,43,Toccopola,Toccopola town,73760,02406740,28,Mississippi,MS,3.0
1600000US0130448,2552525,39434,620.760225507,0130448,43,Goldville,Goldville town,30448,02406586,01,Alabama,AL,3.0
1600000US0178232,86776378,810502,21672.2080172,0178232,25,Valley Grande,Valley Grande city,78232,02405635,01,Alabama,AL,3.0
1600000US0179488,7279853,135325,1832.40104429,0179488,43,Waldo,Waldo town,79488,02406819,01,Alabama,AL,4.0
1600000US0165016,3746270,55330,941.484722141,0165016,43,Riverview,Riverview town,65016,02407226,01,Alabama,AL,3.0
1600000US0507270,6013405,2068,1476.56185928,0507270,43,Bluff City,Bluff City town,07270,02405287,05,Arkansas,AR,3.0
1600000US1370932,3143690,77973,771.729132441,1370932,43,Siloam,Siloam town,70932,02407339,13,Georgia,GA,3.0
1600000US1301248,618517,43015,161.607106338,1301248,43,Aldora,Aldora town,01248,02405129,13,Georgia,GA,3.0
1600000US1322388,3937814,54568,966.481493952,1322388,25,Denton,Denton city,22388,02404218,13,Georgia,GA,4.0
1600000US4532245,146882911,283203,36395.4916312,4532245,25,Hardeeville,Hardeeville city,32245,02403797,45,South Carolina,SC,4.0
1600000US4542820,2006011,0,478.385487379,4542820,43,Lowndesville,Lowndesville town,42820,02406052,45,South Carolina,SC,3.0
1600000US4837924,2545289,8416,620.793464823,4837924,25,Jolly,Jolly city,37924,02410147,48,Texas,TX,3.0
1600000US5343395,568030,0,142.807420189,5343395,43,Marcus,Marcus town,43395,02412955,53,Washington,WA,3.0
1600000US4552585,2033966,0,488.553100056,4552585,43,Olar,Olar town,52585,02407043,45,South Carolina,SC,3.0
1600000US0101132,113186307,751905,28097.127446,0101132,25,Alexander City,Alexander City city,01132,02403077,01,Alabama,AL,3.0
1600000US0169240,37596061,90831,9342.0631769,0169240,25,Semmes,Semmes city,69240,02680031,01,Alabama,AL,4.0
1600000US3620082,1666892,6970,413.777983646,3620082,47,Delanson,Delanson village,20082,02391635,36,New York,NY,3.0
1600000US4003050,514644,7714,128.380465891,4003050,43,Ashland,Ashland town,03050,02411649,40,Oklahoma,OK,4.0
1600000US2804500,8928295,12097,2210.1230654,2804500,43,Beaumont,Beaumont town,04500,02405223,28,Mississippi,MS,3.0
1600000US3769795,2283882,142092,593.15639842,3769795,43,Varnamtown,Varnamtown town,69795,02406794,37,North Carolina,NC,3.0
1600000US1336024,5295066,284344,1376.29633476,1336024,25,Hagan,Hagan city,36024,02403779,13,Georgia,GA,3.0
